Aeg p;Katse 26;Katse 28;Katse 29;Katse 30
0,00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
0,04;4,35E-06;2,97E-06;2,85E-06;2,46E-06
0,08;5,32E-06;4,77E-06;4,63E-06;4,00E-06
0,12;6,45E-06;6,36E-06;6,52E-06;4,62E-06
0,16;6,61E-06;8,48E-06;7,47E-06;4,62E-06
0,19;4,19E-06;9,32E-06;8,30E-06;4,93E-06
0,23;1,61E-07;9,64E-06;8,90E-06;5,03E-06
0,27;-2,26E-06;9,96E-06;9,25E-06;4,82E-06
0,31;-3,06E-06;1,02E-05;9,73E-06;4,72E-06
0,35;-3,55E-06;1,04E-05;1,01E-05;4,62E-06
0,39;-3,87E-06;1,06E-05;1,03E-05;5,13E-06
0,43;-3,87E-06;1,08E-05;1,04E-05;6,47E-06
0,47;8,06E-07;1,07E-05;1,02E-05;8,83E-06
0,51;9,19E-06;1,02E-05;9,49E-06;1,18E-05
0,54;1,64E-05;8,69E-06;7,35E-06;1,24E-05
0,58;1,10E-05;5,09E-06;3,68E-06;1,18E-05
0,62;7,90E-06;5,00E-06;4,75E-06;9,03E-06
0,66;8,54E-06;5,54E-06;4,49E-06;4,93E-06
0,70;9,03E-06;5,97E-06;5,24E-06;4,21E-06
0,74;9,35E-06;6,40E-06;5,69E-06;5,40E-06
0,78;9,51E-06;6,94E-06;6,20E-06;6,80E-06
0,82;1,02E-05;7,27E-06;6,47E-06;7,88E-06
0,86;1,06E-05;7,70E-06;6,86E-06;7,61E-06
0,89;1,13E-05;8,13E-06;7,25E-06;7,85E-06
0,93;1,18E-05;8,56E-06;7,64E-06;8,09E-06
0,97;1,22E-05;9,00E-06;8,03E-06;8,34E-06
1,01;1,27E-05;9,43E-06;8,42E-06;8,58E-06
1,05;1,32E-05;9,97E-06;8,93E-06;8,93E-06
1,09;1,39E-05;1,04E-05;9,32E-06;9,17E-06
1,13;1,43E-05;1,07E-05;9,59E-06;9,62E-06
1,17;5,52E-03;1,94E-02;6,07E-03;5,54E-03
1,21;1,10E-02;6,68E-02;1,07E-02;1,74E-03
1,24;7,36E-03;9,05E-02;1,07E-02;1,11E-02
1,28;3,69E-03;1,09E-01;1,35E-02;2,27E-02
1,32;1,44E-05;1,33E-01;1,64E-02;2,97E-02
1,36;-5,49E-03;1,57E-01;2,06E-02;3,90E-02
1,40;-1,28E-02;1,76E-01;2,34E-02;4,60E-02
1,44;-1,83E-02;1,90E-01;2,77E-02;5,07E-02
1,48;-2,20E-02;2,09E-01;3,33E-02;5,77E-02
1,52;-2,39E-02;2,23E-01;3,76E-02;6,47E-02
1,56;-2,57E-02;2,37E-01;3,90E-02;7,40E-02
1,59;-2,94E-02;2,52E-01;4,18E-02;8,10E-02
1,63;-3,12E-02;2,66E-01;4,32E-02;8,33E-02
1,67;-3,30E-02;2,85E-01;4,61E-02;8,80E-02
1,71;-3,49E-02;2,94E-01;4,61E-02;9,50E-02
1,75;-3,49E-02;3,09E-01;4,75E-02;9,73E-02
1,79;-3,67E-02;3,23E-01;4,89E-02;9,96E-02
1,83;-3,67E-02;3,32E-01;5,27E-02;1,04E-01
1,87;-3,96E-02;3,52E-01;5,45E-02;1,11E-01
1,91;-4,11E-02;3,67E-01;5,65E-02;1,15E-01
1,94;-4,26E-02;3,81E-01;5,84E-02;1,20E-01
1,98;-4,92E-02;4,00E-01;6,35E-02;1,15E-01
2,02;-4,92E-02;4,14E-01;6,35E-02;1,13E-01
2,06;-4,74E-02;4,29E-01;6,35E-02;1,13E-01
2,10;-4,55E-02;4,38E-01;6,35E-02;1,13E-01
2,14;-4,55E-02;4,47E-01;6,35E-02;1,11E-01
2,18;-4,37E-02;4,66E-01;6,63E-02;1,11E-01
2,22;-4,19E-02;4,90E-01;6,92E-02;1,11E-01
2,26;-4,00E-02;5,09E-01;6,92E-02;1,06E-01
2,29;-3,64E-02;5,23E-01;6,92E-02;1,08E-01
2,33;-3,45E-02;5,28E-01;7,06E-02;1,08E-01
2,37;-3,27E-02;5,38E-01;7,20E-02;1,08E-01
2,41;-3,09E-02;5,42E-01;7,06E-02;1,06E-01
2,45;-3,09E-02;5,47E-01;6,92E-02;1,11E-01
2,49;-3,27E-02;5,57E-01;6,92E-02;1,08E-01
2,53;-3,09E-02;5,57E-01;7,06E-02;1,15E-01
2,57;-3,27E-02;5,57E-01;7,06E-02;1,15E-01
2,61;-3,45E-02;5,52E-01;7,06E-02;1,17E-01
2,64;-3,45E-02;5,47E-01;7,34E-02;1,17E-01
2,68;-3,64E-02;5,42E-01;7,34E-02;1,20E-01
2,72;-3,45E-02;5,38E-01;7,34E-02;1,22E-01
2,76;-3,45E-02;5,28E-01;7,34E-02;1,24E-01
2,80;-3,45E-02;5,23E-01;7,48E-02;1,27E-01
2,84;-3,27E-02;5,14E-01;7,48E-02;1,27E-01
2,88;-3,45E-02;5,04E-01;7,62E-02;1,29E-01
2,92;-3,45E-02;5,04E-01;7,77E-02;1,34E-01
2,96;-3,27E-02;4,90E-01;8,05E-02;1,34E-01
2,99;-3,45E-02;4,81E-01;8,33E-02;1,36E-01
3,03;-3,45E-02;4,71E-01;8,76E-02;1,38E-01
3,07;-3,64E-02;4,62E-01;9,18E-02;1,38E-01
3,11;-3,82E-02;4,52E-01;9,46E-02;1,41E-01
3,15;-3,45E-02;4,38E-01;1,00E-01;1,43E-01
3,19;-3,45E-02;4,29E-01;1,03E-01;1,43E-01
3,23;-3,09E-02;4,19E-01;1,09E-01;1,43E-01
3,27;-2,72E-02;4,10E-01;1,10E-01;1,45E-01
3,31;-2,53E-02;4,00E-01;1,12E-01;1,45E-01
3,34;-2,35E-02;3,91E-01;1,14E-01;1,48E-01
3,38;-1,98E-02;3,72E-01;1,14E-01;1,48E-01
3,42;-1,80E-02;3,62E-01;1,16E-01;1,50E-01
3,46;-1,80E-02;3,43E-01;1,12E-01;1,52E-01
3,50;-1,62E-02;3,24E-01;1,07E-01;1,55E-01
3,54;-1,25E-02;3,05E-01;1,03E-01;1,57E-01
3,58;-1,07E-02;2,91E-01;9,46E-02;1,57E-01
3,62;-1,07E-02;2,77E-01;8,61E-02;1,59E-01
3,66;-8,83E-03;2,53E-01;7,62E-02;1,59E-01
3,69;-5,16E-03;2,39E-01;6,92E-02;1,59E-01
3,73;-3,32E-03;2,25E-01;6,49E-02;1,62E-01
3,77;-1,48E-03;2,10E-01;5,79E-02;1,62E-01
3,81;3,52E-04;2,01E-01;5,50E-02;1,64E-01
3,85;2,19E-03;1,91E-01;5,08E-02;1,64E-01
3,89;4,02E-03;1,77E-01;4,80E-02;1,66E-01
3,93;4,02E-03;1,68E-01;4,37E-02;1,66E-01
3,97;3,52E-04;1,63E-01;4,09E-02;1,66E-01
4,01;-1,48E-03;1,49E-01;3,81E-02;1,69E-01
4,04;-3,32E-03;1,44E-01;3,67E-02;1,71E-01
4,08;-3,32E-03;1,39E-01;3,38E-02;1,71E-01
4,12;-1,48E-03;1,30E-01;3,24E-02;1,71E-01
4,16;-1,48E-03;1,30E-01;2,96E-02;1,71E-01
4,20;3,52E-04;1,20E-01;2,82E-02;1,73E-01
4,24;2,19E-03;1,16E-01;2,68E-02;1,73E-01
4,28;2,19E-03;1,11E-01;2,25E-02;1,76E-01
4,32;4,02E-03;1,01E-01;2,11E-02;1,76E-01
4,36;4,02E-03;9,19E-02;1,69E-02;1,73E-01
4,39;7,70E-03;8,24E-02;9,80E-03;1,76E-01
4,43;7,70E-03;7,29E-02;8,38E-03;1,73E-01
4,47;9,53E-03;6,34E-02;1,12E-02;1,73E-01
4,51;9,53E-03;4,92E-02;9,80E-03;1,71E-01
4,55;1,32E-02;4,44E-02;1,12E-02;1,66E-01
4,59;1,50E-02;3,02E-02;1,26E-02;1,66E-01
4,63;2,05E-02;1,60E-02;1,26E-02;1,64E-01
4,67;2,42E-02;6,51E-03;1,40E-02;1,59E-01
4,71;3,16E-02;-1,25E-02;1,55E-02;1,57E-01
4,74;3,71E-02;-2,67E-02;1,55E-02;1,55E-01
4,78;4,44E-02;-4,09E-02;1,69E-02;1,52E-01
4,82;5,18E-02;-5,51E-02;1,69E-02;1,50E-01
4,86;5,91E-02;-6,46E-02;1,83E-02;1,48E-01
4,90;6,28E-02;-7,41E-02;1,97E-02;1,43E-01
4,94;6,64E-02;-8,36E-02;1,97E-02;1,41E-01
4,98;7,01E-02;-8,83E-02;2,11E-02;1,36E-01
5,02;6,83E-02;-9,78E-02;2,25E-02;1,34E-01
5,06;6,28E-02;-1,03E-01;2,25E-02;1,29E-01
5,09;5,91E-02;-1,03E-01;2,39E-02;1,27E-01
5,13;5,36E-02;-1,12E-01;2,39E-02;1,17E-01
5,17;4,99E-02;-1,07E-01;2,39E-02;1,13E-01
5,21;4,81E-02;-1,17E-01;2,68E-02;1,08E-01
5,25;4,62E-02;-1,22E-01;2,68E-02;1,01E-01
5,29;4,44E-02;-1,22E-01;2,68E-02;9,42E-02
5,33;4,44E-02;-1,22E-01;2,68E-02;9,19E-02
5,37;4,26E-02;-1,26E-01;2,82E-02;8,72E-02
5,41;4,07E-02;-1,26E-01;2,82E-02;8,25E-02
5,44;4,26E-02;-1,26E-01;2,96E-02;8,02E-02
5,48;3,89E-02;-1,31E-01;2,96E-02;8,02E-02
5,52;3,89E-02;-1,31E-01;3,10E-02;7,79E-02
5,56;3,89E-02;-1,26E-01;3,10E-02;8,02E-02
5,60;3,71E-02;-1,31E-01;3,10E-02;8,25E-02
5,64;3,71E-02;-1,31E-01;3,10E-02;8,49E-02
5,68;3,71E-02;-1,31E-01;3,10E-02;8,95E-02
5,72;3,71E-02;-1,31E-01;3,24E-02;9,42E-02
5,76;3,52E-02;-1,31E-01;3,10E-02;1,01E-01
5,79;3,52E-02;-1,31E-01;3,24E-02;1,06E-01
5,83;3,52E-02;-1,36E-01;3,10E-02;1,13E-01
5,87;3,52E-02;-1,31E-01;3,24E-02;1,17E-01
5,91;3,52E-02;-1,31E-01;3,24E-02;1,20E-01
5,95;3,34E-02;-1,31E-01;3,38E-02;1,08E-01
5,99;3,34E-02;-1,26E-01;3,38E-02;9,19E-02
6,03;3,34E-02;-1,26E-01;3,24E-02;7,55E-02
6,07;3,16E-02;-1,31E-01;3,38E-02;6,16E-02
6,11;3,34E-02;-1,26E-01;3,38E-02;4,76E-02
6,14;3,34E-02;-1,22E-01;3,52E-02;3,82E-02
6,18;3,34E-02;-1,22E-01;3,52E-02;2,89E-02
6,22;3,34E-02;-1,22E-01;3,52E-02;1,96E-02
6,26;3,34E-02;-1,22E-01;3,52E-02;1,26E-02
6,30;3,34E-02;-1,17E-01;3,52E-02;5,61E-03
6,34;3,52E-02;-1,12E-01;3,52E-02;9,52E-04
6,38;3,52E-02;-1,07E-01;3,52E-02;-3,71E-03
6,42;3,71E-02;-1,12E-01;3,52E-02;-6,04E-03
6,46;3,89E-02;-1,07E-01;3,52E-02;-6,04E-03
6,49;4,07E-02;-1,07E-01;3,52E-02;-6,04E-03
6,53;3,89E-02;-1,07E-01;3,52E-02;-8,37E-03
6,57;4,07E-02;-1,03E-01;3,52E-02;-6,04E-03
6,61;4,26E-02;-9,78E-02;3,52E-02;-8,37E-03
6,65;4,44E-02;-9,78E-02;3,52E-02;-8,37E-03
6,69;4,62E-02;-9,31E-02;3,52E-02;-1,07E-02
6,73;4,81E-02;-9,31E-02;3,52E-02;-8,37E-03
6,77;4,81E-02;-9,31E-02;3,67E-02;-8,37E-03
6,81;4,81E-02;-9,31E-02;3,81E-02;-8,37E-03
6,84;4,99E-02;-8,83E-02;3,67E-02;-3,71E-03
6,88;5,18E-02;-8,83E-02;3,81E-02;-3,71E-03
6,92;5,36E-02;-8,36E-02;3,81E-02;-3,71E-03
6,96;5,36E-02;-7,88E-02;3,81E-02;-3,71E-03
7,00;5,54E-02;-7,88E-02;3,81E-02;9,52E-04
7,04;5,54E-02;-7,88E-02;3,81E-02;9,52E-04
7,08;5,73E-02;-7,41E-02;3,95E-02;9,52E-04
7,12;5,91E-02;-7,41E-02;3,95E-02;5,61E-03
7,16;6,09E-02;-6,94E-02;4,09E-02;3,28E-03
7,19;6,09E-02;-6,46E-02;4,23E-02;5,61E-03
7,23;6,09E-02;-6,46E-02;4,23E-02;5,61E-03
7,27;6,28E-02;-5,99E-02;4,23E-02;1,03E-02
7,31;6,28E-02;-5,99E-02;4,23E-02;7,94E-03
7,35;6,46E-02;-5,51E-02;4,23E-02;1,03E-02
7,39;6,64E-02;-5,04E-02;4,37E-02;7,94E-03
7,43;6,64E-02;-5,04E-02;4,37E-02;1,26E-02
7,47;6,83E-02;-5,04E-02;4,37E-02;1,49E-02
7,51;6,83E-02;-5,04E-02;4,23E-02;1,49E-02
7,54;6,83E-02;-5,04E-02;4,37E-02;1,49E-02
7,58;6,83E-02;-5,04E-02;4,37E-02;1,73E-02
7,62;6,83E-02;-5,04E-02;4,37E-02;1,73E-02
7,66;6,83E-02;-4,56E-02;4,37E-02;1,96E-02
7,70;6,83E-02;-4,56E-02;4,51E-02;1,96E-02
7,74;7,01E-02;-4,09E-02;4,51E-02;1,96E-02
7,78;7,01E-02;-4,09E-02;4,51E-02;1,96E-02
7,82;6,83E-02;-4,09E-02;4,51E-02;2,19E-02
7,86;7,01E-02;-3,62E-02;4,66E-02;2,19E-02
7,89;7,01E-02;-3,62E-02;4,80E-02;2,43E-02
7,93;7,19E-02;-3,62E-02;4,80E-02;2,43E-02
7,97;7,19E-02;-3,62E-02;4,80E-02;2,66E-02
8,01;7,19E-02;-3,62E-02;4,94E-02;2,66E-02
8,05;7,01E-02;-3,14E-02;4,94E-02;2,43E-02
8,09;7,19E-02;-3,14E-02;4,94E-02;2,43E-02
8,13;7,19E-02;-3,14E-02;4,94E-02;2,66E-02
8,17;7,19E-02;-2,67E-02;5,08E-02;2,66E-02
8,21;7,19E-02;-2,19E-02;5,08E-02;2,66E-02
8,24;7,19E-02;-1,72E-02;5,08E-02;2,66E-02
8,28;7,38E-02;-2,97E-03;5,22E-02;2,89E-02
8,32;7,38E-02;1,77E-03;5,22E-02;2,89E-02
8,36;7,38E-02;1,13E-02;5,22E-02;2,89E-02
8,40;7,38E-02;1,13E-02;5,22E-02;2,89E-02
8,44;7,38E-02;1,13E-02;5,22E-02;2,89E-02
8,48;7,38E-02;1,60E-02;5,36E-02;2,89E-02
8,52;7,38E-02;1,60E-02;5,22E-02;3,13E-02
8,56;7,38E-02;1,60E-02;5,36E-02;3,13E-02
8,59;7,38E-02;2,07E-02;5,50E-02;3,13E-02
8,63;7,38E-02;1,60E-02;5,50E-02;3,36E-02
8,67;7,38E-02;2,55E-02;5,50E-02;3,36E-02
8,71;7,56E-02;2,07E-02;5,50E-02;3,36E-02
8,75;7,56E-02;2,34E-02;5,55E-02;3,38E-02
8,79;7,56E-02;2,54E-02;5,57E-02;3,43E-02
8,83;7,75E-02;3,02E-02;5,86E-02;3,66E-02
8,87;7,56E-02;3,49E-02;5,72E-02;3,66E-02
8,91;7,75E-02;3,96E-02;5,72E-02;3,89E-02
8,94;7,75E-02;3,96E-02;5,72E-02;3,89E-02
8,98;7,56E-02;3,96E-02;5,86E-02;3,89E-02
9,02;7,56E-02;4,44E-02;5,86E-02;3,89E-02
9,06;7,75E-02;4,44E-02;6,00E-02;3,89E-02
9,10;7,56E-02;4,91E-02;6,00E-02;4,13E-02
9,14;7,56E-02;4,91E-02;6,14E-02;4,13E-02
9,18;7,56E-02;5,39E-02;6,14E-02;4,13E-02
9,22;7,56E-02;5,39E-02;6,28E-02;4,13E-02
9,26;7,56E-02;5,39E-02;6,28E-02;4,13E-02
9,29;7,56E-02;5,86E-02;6,14E-02;4,36E-02
9,33;7,56E-02;5,86E-02;6,28E-02;4,36E-02
9,37;7,56E-02;6,33E-02;6,28E-02;4,59E-02
9,41;7,56E-02;6,33E-02;6,56E-02;4,59E-02
9,45;7,38E-02;6,81E-02;6,56E-02;4,59E-02
9,49;7,56E-02;6,81E-02;6,71E-02;4,59E-02
9,53;7,56E-02;7,28E-02;6,71E-02;4,82E-02
9,57;7,38E-02;7,28E-02;6,71E-02;4,82E-02
9,61;7,38E-02;7,76E-02;6,85E-02;4,82E-02
9,64;7,38E-02;8,23E-02;6,85E-02;4,82E-02
9,68;7,56E-02;8,23E-02;6,99E-02;4,82E-02
9,72;7,56E-02;8,23E-02;7,13E-02;4,82E-02
9,76;7,56E-02;8,71E-02;7,13E-02;4,82E-02
9,80;7,56E-02;9,01E-02;7,32E-02;4,95E-02
9,84;7,56E-02;9,31E-02;7,40E-02;4,98E-02
9,88;7,56E-02;9,31E-02;7,68E-02;4,75E-02
9,92;7,75E-02;1,03E-01;7,68E-02;4,75E-02
9,96;7,56E-02;1,07E-01;7,68E-02;4,51E-02
9,99;7,56E-02;1,07E-01;7,82E-02;4,75E-02
10,03;7,75E-02;1,12E-01;7,82E-02;4,75E-02
10,07;7,56E-02;1,17E-01;7,82E-02;4,75E-02
10,11;7,56E-02;1,22E-01;8,11E-02;4,98E-02
10,15;7,75E-02;1,26E-01;8,11E-02;4,98E-02
10,19;7,56E-02;1,26E-01;8,25E-02;5,21E-02
10,23;7,75E-02;1,26E-01;8,39E-02;4,98E-02
10,27;7,75E-02;1,36E-01;8,39E-02;4,98E-02
10,31;7,75E-02;1,36E-01;8,67E-02;4,98E-02
10,34;7,75E-02;1,45E-01;8,67E-02;5,21E-02
10,38;7,75E-02;1,45E-01;8,95E-02;5,21E-02
10,42;7,93E-02;1,50E-01;8,95E-02;5,21E-02
10,46;7,93E-02;1,55E-01;9,24E-02;5,21E-02
10,50;7,75E-02;1,60E-01;9,38E-02;5,21E-02
10,54;7,75E-02;1,64E-01;9,66E-02;5,21E-02
10,58;7,93E-02;1,64E-01;9,80E-02;5,45E-02
10,62;7,75E-02;1,69E-01;1,02E-01;5,45E-02
10,66;7,56E-02;1,74E-01;1,05E-01;5,45E-02
10,69;7,56E-02;1,78E-01;1,09E-01;5,45E-02
10,73;7,75E-02;1,83E-01;1,11E-01;5,45E-02
10,77;7,56E-02;1,88E-01;1,16E-01;5,68E-02
10,81;7,56E-02;1,93E-01;1,19E-01;5,68E-02
10,85;7,75E-02;1,97E-01;1,23E-01;5,68E-02
10,89;7,75E-02;2,02E-01;1,29E-01;5,68E-02
10,93;7,56E-02;2,07E-01;1,35E-01;5,91E-02
10,97;7,75E-02;2,16E-01;1,40E-01;5,91E-02
11,01;7,75E-02;2,21E-01;1,46E-01;5,91E-02
11,04;7,75E-02;2,31E-01;1,52E-01;5,91E-02
11,08;7,75E-02;2,35E-01;1,56E-01;6,15E-02
11,12;7,75E-02;2,45E-01;1,62E-01;6,15E-02
11,16;7,75E-02;2,54E-01;1,67E-01;5,91E-02
11,20;7,56E-02;2,64E-01;1,73E-01;6,15E-02
11,24;7,75E-02;2,73E-01;1,77E-01;6,15E-02
11,28;7,75E-02;2,83E-01;1,81E-01;5,91E-02
11,32;7,93E-02;2,97E-01;1,83E-01;6,15E-02
11,36;7,93E-02;3,06E-01;1,84E-01;6,15E-02
11,39;7,93E-02;3,16E-01;1,86E-01;6,15E-02
11,43;7,93E-02;3,25E-01;1,86E-01;6,15E-02
11,47;7,75E-02;3,40E-01;1,86E-01;6,38E-02
11,51;7,75E-02;3,44E-01;1,87E-01;6,61E-02
11,55;7,56E-02;3,54E-01;1,89E-01;6,61E-02
11,59;7,75E-02;3,63E-01;1,89E-01;6,61E-02
11,63;7,75E-02;3,63E-01;1,91E-01;6,84E-02
11,67;7,56E-02;3,73E-01;1,91E-01;6,84E-02
11,71;7,75E-02;3,73E-01;1,90E-01;6,84E-02
11,74;7,75E-02;3,82E-01;1,93E-01;6,84E-02
11,78;7,56E-02;3,82E-01;1,94E-01;6,84E-02
11,82;7,75E-02;3,87E-01;1,93E-01;7,08E-02
11,86;7,56E-02;3,92E-01;1,94E-01;7,08E-02
11,90;7,56E-02;3,92E-01;1,96E-01;7,31E-02
11,94;7,56E-02;3,92E-01;1,96E-01;7,31E-02
11,98;7,75E-02;3,97E-01;1,96E-01;7,31E-02
12,02;7,75E-02;3,97E-01;1,97E-01;7,54E-02
12,06;7,75E-02;4,01E-01;1,97E-01;7,54E-02
12,09;7,56E-02;4,01E-01;1,98E-01;7,78E-02
12,13;7,56E-02;4,01E-01;1,98E-01;7,78E-02
12,17;7,75E-02;4,01E-01;2,00E-01;7,78E-02
12,21;7,75E-02;4,06E-01;2,00E-01;7,78E-02
12,25;7,75E-02;4,06E-01;2,01E-01;8,01E-02
12,29;7,75E-02;4,01E-01;2,03E-01;8,24E-02
12,33;7,75E-02;4,06E-01;2,03E-01;8,24E-02
12,37;7,75E-02;4,06E-01;2,04E-01;8,24E-02
12,41;7,56E-02;4,06E-01;2,05E-01;8,48E-02
12,44;7,56E-02;4,06E-01;2,05E-01;8,48E-02
12,48;7,75E-02;4,06E-01;2,07E-01;8,48E-02
12,52;7,75E-02;4,01E-01;2,08E-01;8,94E-02
12,56;7,56E-02;4,06E-01;2,10E-01;8,71E-02
12,60;7,75E-02;4,01E-01;2,10E-01;8,94E-02
12,64;7,56E-02;4,01E-01;2,11E-01;8,94E-02
12,68;7,75E-02;4,01E-01;2,13E-01;9,18E-02
12,72;7,75E-02;4,01E-01;2,14E-01;9,41E-02
12,76;7,75E-02;3,97E-01;2,15E-01;9,41E-02
12,79;7,75E-02;4,01E-01;2,15E-01;9,64E-02
12,83;7,75E-02;3,97E-01;2,17E-01;9,64E-02
12,92;7,75E-02;3,97E-01;2,19E-01;9,88E-02
12,96;7,75E-02;3,97E-01;2,20E-01;9,99E-02
13,00;7,75E-02;3,97E-01;2,21E-01;1,01E-01
13,04;8,11E-02;3,82E-01;2,22E-01;9,43E-02
13,08;7,93E-02;3,82E-01;2,23E-01;9,90E-02
13,11;8,11E-02;3,87E-01;2,26E-01;1,01E-01
13,15;8,30E-02;3,87E-01;2,27E-01;1,01E-01
13,19;8,30E-02;3,82E-01;2,29E-01;1,04E-01
13,23;8,30E-02;3,82E-01;2,31E-01;1,04E-01
13,27;8,30E-02;3,82E-01;2,34E-01;1,04E-01
13,31;8,48E-02;3,82E-01;2,34E-01;1,08E-01
13,35;8,48E-02;3,82E-01;2,37E-01;1,08E-01
13,39;8,66E-02;3,82E-01;2,39E-01;1,08E-01
13,43;8,66E-02;3,82E-01;2,43E-01;1,08E-01
13,46;8,85E-02;3,82E-01;2,44E-01;1,08E-01
13,50;8,85E-02;3,78E-01;2,46E-01;1,08E-01
13,54;9,03E-02;3,78E-01;2,49E-01;1,13E-01
13,58;9,03E-02;3,78E-01;2,52E-01;1,13E-01
13,62;9,21E-02;3,78E-01;2,55E-01;1,13E-01
13,66;9,40E-02;3,78E-01;2,56E-01;1,13E-01
13,70;9,58E-02;3,78E-01;2,61E-01;1,13E-01
13,74;9,77E-02;3,78E-01;2,62E-01;1,13E-01
13,78;1,01E-01;3,78E-01;2,66E-01;1,18E-01
13,81;1,03E-01;3,78E-01;2,69E-01;1,18E-01
13,85;1,05E-01;3,78E-01;2,73E-01;1,18E-01
13,89;1,09E-01;3,78E-01;2,76E-01;1,18E-01
13,93;1,12E-01;3,73E-01;2,80E-01;1,18E-01
13,97;1,16E-01;3,73E-01;2,82E-01;1,18E-01
14,01;1,18E-01;3,73E-01;2,86E-01;1,20E-01
14,05;1,22E-01;3,73E-01;2,91E-01;1,20E-01
14,09;1,27E-01;3,73E-01;2,95E-01;1,22E-01
14,13;1,33E-01;3,73E-01;2,97E-01;1,22E-01
14,16;1,36E-01;3,73E-01;3,02E-01;1,22E-01
14,20;1,42E-01;3,73E-01;3,07E-01;1,22E-01
14,24;1,49E-01;3,78E-01;3,13E-01;1,22E-01
14,28;1,56E-01;3,78E-01;3,16E-01;1,25E-01
14,32;1,66E-01;3,73E-01;3,22E-01;1,25E-01
14,36;1,73E-01;3,78E-01;3,27E-01;1,25E-01
14,40;1,82E-01;3,78E-01;3,33E-01;1,25E-01
14,44;1,89E-01;3,78E-01;3,38E-01;1,25E-01
14,48;1,99E-01;3,82E-01;3,44E-01;1,25E-01
14,51;2,10E-01;3,82E-01;3,50E-01;1,27E-01
14,55;2,19E-01;3,82E-01;3,55E-01;1,27E-01
14,59;2,32E-01;3,82E-01;3,60E-01;1,27E-01
14,63;2,43E-01;3,87E-01;3,67E-01;1,27E-01
14,67;2,56E-01;3,87E-01;3,93E-01;1,27E-01
14,71;2,67E-01;3,87E-01;4,22E-01;1,27E-01
14,75;2,78E-01;3,92E-01;4,73E-01;1,27E-01
14,79;2,90E-01;3,97E-01;5,11E-01;1,27E-01
14,83;3,05E-01;4,01E-01;5,50E-01;1,27E-01
14,86;3,18E-01;4,06E-01;5,88E-01;1,27E-01
14,90;3,31E-01;4,11E-01;6,26E-01;1,27E-01
14,94;3,45E-01;4,11E-01;6,70E-01;1,29E-01
14,98;3,56E-01;4,20E-01;7,15E-01;1,29E-01
15,02;4,34E-01;4,30E-01;7,53E-01;1,27E-01
15,06;4,93E-01;4,30E-01;7,97E-01;1,29E-01
15,10;5,52E-01;4,39E-01;8,48E-01;1,29E-01
15,14;6,04E-01;4,49E-01;8,93E-01;1,29E-01
15,18;6,63E-01;4,58E-01;9,37E-01;1,29E-01
15,21;7,15E-01;4,68E-01;9,88E-01;1,29E-01
15,25;7,67E-01;4,82E-01;1,04E+00;1,29E-01
15,29;8,20E-01;4,91E-01;1,10E+00;1,27E-01
15,33;8,72E-01;5,06E-01;1,14E+00;1,29E-01
15,37;9,17E-01;5,20E-01;1,20E+00;1,29E-01
15,41;9,76E-01;5,34E-01;1,26E+00;1,32E-01
15,45;1,02E+00;5,53E-01;1,31E+00;1,29E-01
15,49;1,06E+00;5,72E-01;1,36E+00;1,29E-01
15,53;1,11E+00;5,91E-01;1,41E+00;1,29E-01
15,56;1,15E+00;6,10E-01;1,47E+00;1,27E-01
15,60;1,20E+00;6,34E-01;1,53E+00;1,32E-01
15,64;1,25E+00;6,62E-01;1,59E+00;1,29E-01
15,68;1,30E+00;6,91E-01;1,65E+00;1,27E-01
15,72;1,34E+00;7,28E-01;1,71E+00;1,29E-01
15,76;1,39E+00;7,57E-01;1,77E+00;1,29E-01
15,80;1,43E+00;8,00E-01;1,83E+00;1,29E-01
